User_id,device_token,device_name,device_type
2f025384-fe25-e811-80f8-1458d041f8e8,1114C0E7-5097-46DE-92E0-CFB6869F67B4,Yuriâ€™s iPhone,iOS
7601a053-6361-e211-82a8-00155d350208,42957FAD-D01C-4C5C-BFAF-7FF6886BAED0,iPhone,iOS
1db505c9-7cf6-e511-80d1-021dd8b71c5a,7DA98439-02BD-41B1-86DE-C958E9903AF1,iPhone 8,iOS
c2a80c12-b7d2-e811-a97a-000d3ab9a49f,5EDD3663-2349-42DB-BA69-E8B21FD1C52E,G David's iPhone,iOS
76d93e13-b4f2-e811-a97c-000d3ab9ad32,001A9642-6877-4FFC-A14F-60D5943F7C5E,Brooke's iPhone,iOS
d14afaf5-8aed-e811-a978-000d3ab9a5ef,744878E6-C4FE-468E-B87A-37732233444D,Jacob Laws' iPhone,iOS
997b3c19-79db-e711-811e-3863bb354ff0,E249F42E-8491-4B31-B832-1B4B33B22BFC,iPhone ,iOS
050e4e78-4b94-e511-80ca-021dd8b71c5a,21A13F0F-5EF5-4001-B22E-3CFB858B672C,Juan carlosâ€™s iPhone,iOS
0f575330-e1e2-e811-a978-000d3ab9add5,2F09485F-0C93-4762-AA75-11D5046F2A25,BlaiseUSiPhone,iOS
93cdbe28-1356-e811-813b-3863bb34fb48,8A7CDD31-E4AE-445D-B7C7-2337E52E291A,Ben King,iOS
538b9951-dede-e811-a97c-000d3ab9a49f,3528191F-A637-46BF-AB68-19DC59A3BC1C,ariyellows,iOS
939b11e3-04d3-e811-a974-000d3ab9aac9,9216A7D6-D441-4BAD-BB4C-BEC85CF3A775,Sylviaâ€™s iPhone,iOS
e9fee4f8-2af2-e811-a978-000d3ab9a5ef,1199003B-F2C4-45D9-A1F3-7722404A540B,Natalie's iPhone,iOS
e59515be-f0e7-e811-a97c-000d3ab9ad32,498D678D-32AB-43B3-9F31-C1CC84EFF203,iPhone,iOS
dbb4a1bc-95e8-e811-a97d-000d3ab9a49f,69A8616D-8D54-4906-903E-7B4D552CA87D,Tamara Bernsteinâ€™s iPhone,iOS
